Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 ChannelSelect,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,OriginSequence,Method,Harvest
Unknown,Sample3_HILICneg_pellets_SZ_08182024_13,CYP11A1_PTC_B11_Pel_DHEAS_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B3,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample3_RPpos_pellets_SZ_08182024_14,CYP11A1_PTC_B11_Pel_DHEAS_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B3,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample4_HILICneg_pellets_SZ_08182024_15,CYP11A1_WT3_Pel_DHEAS_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B4,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample4_RPpos_pellets_SZ_08182024_16,CYP11A1_WT3_Pel_DHEAS_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B4,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample5_HILICneg_pellets_SZ_08182024_17,HSB17B1_PTC_B10_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample5_RPpos_pellets_SZ_08182024_18,HSB17B1_PTC_B10_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample6_HILICneg_pellets_SZ_08182024_19,CYP11A1_WT1_Pel_DHEAS_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B6,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample6_RPpos_pellets_SZ_08182024_20,CYP11A1_WT1_Pel_DHEAS_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B6,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample7_HILICneg_pellets_SZ_08182024_21,CYP19A1_PTC_F08_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B7,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample7_RPpos_pellets_SZ_08182024_22,CYP19A1_PTC_F08_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B7,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample8_HILICneg_pellets_SZ_08182024_23,CYP11A1_WT1_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B8,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample8_RPpos_pellets_SZ_08182024_24,CYP11A1_WT1_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B8,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample9_HILICneg_pellets_SZ_08182024_25,HSB17B1_PTC_A09_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:B9,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample9_RPpos_pellets_SZ_08182024_26,HSB17B1_PTC_A09_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:B9,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample10_HILICneg_pellets_SZ_08182024_27,ABCG2_WT3_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C1,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample10_RPpos_pellets_SZ_08182024_28,ABCG2_WT3_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C1,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Pool_QC,Pool_QC_HILICneg_2_pellets_SZ_08182024_29,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Pool_QC,Pool_QC_RPpos_2_pellets_SZ_08182024_30,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample11_HILICneg_pellets_SZ_08182024_31,ABCG2_WT1_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C2,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample11_RPpos_pellets_SZ_08182024_32,ABCG2_WT1_Pel_Basal_R3,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C2,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample13_HILICneg_pellets_SZ_08182024_35,SLC22A11_PTC_B09_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C4,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample13_RPpos_pellets_SZ_08182024_36,SLC22A11_PTC_B09_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C4,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample14_HILICneg_pellets_SZ_08182024_37,SLC22A11_PTC_C09_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample14_RPpos_pellets_SZ_08182024_38,SLC22A11_PTC_C09_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample15_HILICneg_pellets_SZ_08182024_39,CYP19A1_WT2_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C6,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample15_RPpos_pellets_SZ_08182024_40,CYP19A1_WT2_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C6,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample16_HILICneg_pellets_SZ_08182024_41,HSB17B1_PTC_A12_Pel_Basal_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C7,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample16_RPpos_pellets_SZ_08182024_42,HSB17B1_PTC_A12_Pel_Basal_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C7,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample17_HILICneg_pellets_SZ_08182024_43,CYP19A1_WT1_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C8,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample17_RPpos_pellets_SZ_08182024_44,CYP19A1_WT1_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C8,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample18_HILICneg_pellets_SZ_08182024_45,ABCG2_PTC_E03_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:C9,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample18_RPpos_pellets_SZ_08182024_46,ABCG2_PTC_E03_Pel_DHEAS_R1,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:C9,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample19_HILICneg_pellets_SZ_08182024_47,CYP11A1_PTC_B11_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:D1,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample19_RPpos_pellets_SZ_08182024_48,CYP11A1_PTC_B11_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:D1,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Unknown,Sample20_HILICneg_pellets_SZ_08182024_49,CYP11A1_PTC_E10_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:D2,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Unknown,Sample20_RPpos_pellets_SZ_08182024_50,CYP11A1_PTC_E10_Pel_Basal_R2,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:D2,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
Pool_QC,Pool_QC_HILICneg_3_pellets_SZ_08182024_51,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,,,R:A5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_HILIC_neg_60k_20min,Pellet
Pool_QC,Pool_QC_RPpos_3_pellets_SZ_08182024_52,Pool_QC,D:\HF-X_data\Shujian Zheng\07242024_MorPhic_CYP19A1_CYP11A1_ABCG2_SLC22A11\Supernatant\Batch_1,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,,,R:A5,3,,0,0,0,1,,,,,,,,08182024_morphic_cyp19a1_cyp11a1_abcg2_slc22a11_pellets_batch_1.csv,C:\Xcalibur\methods\Shujian\Regular\06142023_SZ_RPpos_60Kres_20min,Pellet
